fiscal_year,location_name,location_type_description,Location_Category_Description,Grades_text,Grades_final_text,primary_address_line_1,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,id
"2,020",P.S. 001 The Bergen,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",309 47 STREET,981081,175710,-74.01142,40.648959,307
"2,020",Parkside Preparatory Academy,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",655 PARKSIDE AVENUE,997686,178433,-73.951575,40.656423,309
"2,020",P.S. 003 The Bedford Village,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",50 JEFFERSON AVENUE,996670,187864,-73.955219,40.682311,303
"2,020",P.S. K004,Special Education,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,06,07,SE",923 JEROME STREET,1017745,179209,-73.879276,40.6585,305
"2,020",P.S. 005 Dr. Ronald McNair,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",820 HANCOCK STREET,1005891,188938,-73.92197,40.685241,303
"2,020",Norma Adams Clemons Academy,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","0K,01,02,03,04,05",43 SNYDER AVENUE,996382,175718,-73.956279,40.648973,314
"2,020",P.S. 007 Abraham Lincoln,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",858 JAMAICA AVENUE,1019475,190401,-73.872983,40.689213,305
"2,020",P.S. 008 Robert Fulton,General Academic,K-8,"0K,01,02,03,04,05,08,SE","PK,0K,01,02,03,04,05",37 HICKS STREET,986235,194564,-73.992841,40.700709,302
"2,020",P.S. 009 Teunis G. Bergen,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",80 UNDERHILL AVENUE,993588,186494,-73.966333,40.678554,308
"2,020","Magnet School of Math, Science and Design Technolo",General Academic,Elementary,"0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",511 7 AVENUE,988149,180065,-73.985946,40.660912,307
"2,020",P.S. 011 Purvis J. Behan,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",419 WAVERLY AVENUE,993710,189169,-73.96589,40.685896,302
"2,020",Dr. Jacqueline Peek-Davis School,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",430 HOWARD AVENUE,1006415,184524,-73.920095,40.673124,316
"2,020",P.S. 013 Roberto Clemente,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",557 PENNSYLVANIA AVENUE,1013844,181232,-73.893328,40.664067,305
"2,020",J.H.S. 014 Shell Bank,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",2424 BATCHELDER STREET,1001439,155413,-73.938107,40.593232,315
"2,020",PS 314 Luis Munoz Marin,General Academic,Elementary,SE,"PK,0K,01,02,03,04,05",330 59 STREET,978978,173219,-74.019,40.6422,307
"2,020",P.S. 015 Patrick F. Daly,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",71 SULLIVAN STREET,980959,185957,-74.011864,40.677085,306
"2,020",P.S. 016 Leonard Dunkly,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",157 WILSON STREET,994772,196519,-73.962049,40.706069,301
"2,020",P.S. 017 Henry D. Woodworth,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",208 NORTH  5 STREET,996087,199871,-73.9573,40.715268,301
"2,020",P.S. 018 Edward Bush,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",101 MAUJER STREET,999028,198274,-73.946695,40.71088,301
"2,020",P.S. 019 Roberto Clemente,General Academic,Elementary,"05,SE","0K,01,02,03,04,05",325 SOUTH  3 STREET,996815,197991,-73.954678,40.710107,301
"2,020",P.S. 020 Clinton Hill,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",225 ADELPHI STREET,992321,190934,-73.970896,40.690742,302
"2,020",P.S. 021 Crispus Attucks,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",180 CHAUNCEY STREET,1004588,187155,-73.926673,40.68035,303
"2,020",P.S. 022,General Academic,Elementary,"05,SE","0K,01,02,03,04,05",443 ST MARKS AVENUE,995319,185965,-73.960093,40.6771,308
